
=== SHEET: Mesačný priemer vonk. teploty (rows=60, cols=24) ===

Mesačný priemer vonkajšej tepl																							
STN EN ISO 13790/NA: Tabuľka N																							
pre teplotné oblasti I, II, II																							
																							
																							
Mesto	Nitra	Mesiac	θe (°C)		Mesto	Senica	Mesiac	θe (°C)		Mesto	Topolcany	Mesiac	θe (°C)		Mesto	Piestany	Mesiac	θe (°C)		Mesto	Zilina	Mesiac	θe (°C)
Oblasť	1	I	-1.6400000000000001		Oblasť	2	I	-2.58		Oblasť	2	I	-2.568		Oblasť	1	I	-1.7520000000000002		Oblasť	2	I	-3.26
Nad. v. (m.n.m.)	135	II	0.625		Nad. v. (m.n.m.)	195	II	-0.375		Nad. v. (m.n.m.)	192	II	-0.36		Nad. v. (m.n.m.)	163	II	0.485		Nad. v. (m.n.m.)	365	II	-1.225
		III	5.390000000000001				III	4.13				III	4.148				III	5.222				III	3.11
		IV	10.754999999999999				IV	9.735				IV	9.756				IV	10.559				IV	8.545
		V	15.655000000000001				V	14.635				V	14.656				V	15.459000000000001				V	13.445
		VI	18.6875				VI	17.637500000000003				VI	17.66				VI	18.4775				VI	16.3625
		VII	20.3875				VII	19.2375				VII	19.259999999999998				VII	20.1775				VII	17.9625
		VIII	19.7875				VIII	18.637500000000003				VIII	18.66				VIII	19.5775				VIII	17.3625
		IX	15.422500000000001				IX	14.4325				IX	14.452				IX	15.2405				IX	13.327499999999999
		X	10.024999999999999				X	9.225				X	9.239999999999998				X	9.885				X	8.375
		XI	4.4925				XI	3.8225000000000002				XI	3.8360000000000003				XI	4.366499999999999				XI	3.0575
		XII	-0.10749999999999993				XII	-0.7775				XII	-0.7639999999999999				XII	-0.23349999999999993				XII	-1.5424999999999998
																							
Mesto	Dolny Kubin	Mesiac	θe (°C)		Mesto	Banska Bystrica	Mesiac	θe (°C)		Mesto	Trebisov	Mesiac	θe (°C)		Mesto	Bardejov	Mesiac	θe (°C)		Mesto	Presov	Mesiac	θe (°C)
Oblasť	2	I	-3.672		Oblasť	2	I	-3.516		Oblasť	2	I	-2.22		Oblasť	2	I	-3.02		Oblasť	2	I	-3.028
Nad. v. (m.n.m.)	468	II	-1.7399999999999998		Nad. v. (m.n.m.)	429	II	-1.545		Nad. v. (m.n.m.)	105	II	0.07499999999999996		Nad. v. (m.n.m.)	305	II	-0.9250000000000002		Nad. v. (m.n.m.)	307	II	-0.9350000000000002
		III	2.4919999999999995				III	2.726				III	4.67				III	3.4699999999999998				III	3.4579999999999997
		IV	7.824				IV	8.097				IV	10.365				IV	8.965				IV	8.951
		V	12.724				V	12.997				V	15.265				V	13.865				V	13.850999999999999
		VI	15.590000000000002				VI	15.882500000000002				VI	18.3125				VI	16.8125				VI	16.797500000000003
		VII	17.189999999999998				VII	17.482499999999998				VII	19.912499999999998				VII	18.412499999999998				VII	18.3975
		VIII	16.590000000000003				VIII	16.8825				VIII	19.3125				VIII	17.8125				VIII	17.797500000000003
		IX	12.658				IX	12.9115				IX	15.0175				IX	13.7175				IX	13.7045
		X	7.859999999999999				X	8.055				X	9.674999999999999				X	8.674999999999999				X	8.665
		XI	2.5940000000000003				XI	2.7695000000000003				XI	4.2275				XI	3.3275000000000006				XI	3.3185000000000002
		XII	-2.006				XII	-1.8304999999999998				XII	-0.37249999999999994				XII	-1.2724999999999997				XII	-1.2814999999999999
																							
Mesto	Bratislava-letisko	Mesiac	θe (°C)		Mesto	Košice-letisko	Mesiac	θe (°C)		Mesto	Poprad	Mesiac	θe (°C)		Mesto	Liptovský Mikuláš	Mesiac	θe (°C)		Mesto	Oravská Lesná	Mesiac	θe (°C)
Oblasť	1	I	-1.6320000000000001		Oblasť	2	I	-2.72		Oblasť	3	I	-5.276		Oblasť	2	I	-4.0760000000000005		Oblasť	3	I	-5.62
Nad. v. (m.n.m.)	133	II	0.635		Nad. v. (m.n.m.)	230	II	-0.5500000000000002		Nad. v. (m.n.m.)	694	II	-3.5700000000000003		Nad. v. (m.n.m.)	569	II	-2.245		Nad. v. (m.n.m.)	780	II	-4
		III	5.402				III	3.92				III	0.23600000000000065				III	1.8859999999999997				III	-0.27999999999999936
		IV	10.768999999999998				IV	9.49				IV	5.542				IV	7.116999999999999				IV	4.94
		V	15.669				V	14.39				V	10.542				V	12.017				V	9.940000000000001
		VI	18.7025				VI	17.375				VI	13.295				VI	14.832500000000001				VI	12.65
		VII	20.4025				VII	18.974999999999998				VII	14.795				VII	16.432499999999997				VII	14.15
		VIII	19.802500000000002				VIII	18.375				VIII	14.194999999999999				VIII	15.832500000000001				VIII	13.549999999999999
		IX	15.435500000000001				IX	14.205				IX	11.489				IX	12.0015				IX	10.93
		X	10.035				X	9.049999999999999				X	6.129999999999999				X	7.354999999999999				X	5.699999999999999
		XI	4.5015				XI	3.665				XI	1.0770000000000004				XI	2.1395000000000004				XI	0.6900000000000004
		XII	-0.09849999999999992				XII	-0.9349999999999999				XII	-3.6229999999999998				XII	-2.4604999999999997				XII	-4.01
																							
Mesto	Rimavská Sobota	Mesiac	θe (°C)		Mesto	Trenč. Biskupice	Mesiac	θe (°C)															
Oblasť	2	I	-2.66		Oblasť	2	I	-2.604															
Nad. v. (m.n.m.)	215	II	-0.475		Nad. v. (m.n.m.)	201	II	-0.40500000000000014															
		III	4.01				III	4.093999999999999															
		IV	9.594999999999999				IV	9.693															
		V	14.495				V	14.593															
		VI	17.4875				VI	17.5925															
		VII	19.0875				VII	19.1925															
		VIII	18.4875				VIII	18.5925															
		IX	14.302499999999998				IX	14.3935															
		X	9.125				X	9.194999999999999															
		XI	3.7325000000000004				XI	3.7955															
		XII	-0.8674999999999999				XII	-0.8045															

=== SHEET: Intenzita sln. žiarenia (rows=267, cols=61) ===

Intenzita slnečného žiarenia																																																												
STN EN ISO 13790/NA: Tabuľka N																																																												
vypočítané pre vybrané klimato																																																												
																																																												
Pri rozdiele nadmorskej výšky 																																																												
																																																												
Horizontálna rovina								Sklon 30°														Sklon 60°																Sklon 45° (interpolácia)										Sklon 90°												
																																																												
month	days	hours	horizontal						South			North			East 			West							South			North			East 			West					South		North		East		West				South			North			East 			West		
			W/m2	kWh/m2					kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2					kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2			W/m2	kWh/m2	W/m2	kWh/m2	W/m2	kWh/m2	W/m2	kWh/m2			kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2	kvoc	W/m2	kWh/m2
I	31	744	34.946236559139784	26					1.62	56.612903225806456	42.120000000000005	0.5	17.473118279569892	13	1	34.946236559139784	26	1	34.946236559139784	26					1.96	68.49462365591397	50.96	0.49	17.123655913978492	12.74	0.95	33.19892473118279	24.7	0.95	33.19892473118279	24.7			62.55376344086021	46.540000000000006	17.298387096774192	12.870000000000001	34.07258064516129	25.35	34.07258064516129	25.35			1.94	67.79569892473118	50.44	0.53	18.521505376344088	13.780000000000001	0.85	29.704301075268816	22.099999999999998	0.85	29.704301075268816	22.099999999999998
II	28	672	72.91666666666667	49					1.46	106.45833333333334	71.53999999999999	0.43	31.354166666666668	21.07	0.99	72.1875	48.51	0.99	72.1875	48.51					1.65	120.3125	80.85	0.41	29.895833333333332	20.09	0.91	66.35416666666667	44.59	0.91	66.35416666666667	44.59			113.38541666666667	76.195	30.625	20.58	69.27083333333334	46.55	69.27083333333334	46.55			1.53	111.56250000000001	74.97	0.44	32.083333333333336	21.56	0.78	56.87500000000001	38.22	0.78	56.87500000000001	38.22
III	31	744	118.27956989247312	88					1.26	149.03225806451613	110.88	0.51	60.322580645161295	44.88	0.96	113.54838709677419	84.47999999999999	0.96	113.54838709677419	84.47999999999999					1.28	151.3978494623656	112.64	0.33	39.03225806451613	29.040000000000003	0.84	99.35483870967742	73.92	0.84	99.35483870967742	73.92			150.21505376344086	111.75999999999999	49.67741935483871	36.96	106.45161290322581	79.19999999999999	106.45161290322581	79.19999999999999			1.05	124.19354838709678	92.4	0.32	37.8494623655914	28.16	0.67	79.24731182795699	58.96	0.67	79.24731182795699	58.96
IV	30	720	186.11111111111111	134				NITRA	1.1	204.72222222222223	147.4	0.68	126.55555555555557	91.12	0.94	174.94444444444443	125.96	0.94	174.94444444444443	125.96		NITRA			0.99	184.25	132.66	0.33	61.41666666666667	44.22	0.8	148.88888888888889	107.2	0.8	148.88888888888889	107.2		NITRA	194.48611111111111	140.03	93.98611111111111	67.67	161.91666666666666	116.58	161.91666666666666	116.58		Nitra	0.71	132.13888888888889	95.14	0.28	52.111111111111114	37.52	0.59	109.80555555555556	79.06	0.59	109.80555555555556	79.06
V	31	744	223.11827956989248	166				oblast 1	1.01	225.3494623655914	167.66	0.79	176.26344086021507	131.14000000000001	0.94	209.7311827956989	156.04	0.94	209.7311827956989	156.04		oblast 1			0.84	187.41935483870967	139.44	0.39	87.01612903225806	64.74000000000001	0.79	176.26344086021507	131.14000000000001	0.79	176.26344086021507	131.14000000000001		oblast 1	206.38440860215053	153.55	131.63978494623657	97.94000000000001	192.997311827957	143.59	192.997311827957	143.59		oblast 1	0.55	122.71505376344088	91.30000000000001	0.3	66.93548387096774	49.8	0.57	127.1774193548387	94.61999999999999	0.57	127.1774193548387	94.61999999999999
VI	30	720	247.22222222222223	178					0.97	239.80555555555554	172.66	0.82	202.72222222222223	145.95999999999998	0.93	229.91666666666669	165.54000000000002	0.93	229.91666666666669	165.54000000000002					0.78	192.83333333333334	138.84	0.45	111.25	80.10000000000001	0.78	192.83333333333334	138.84	0.78	192.83333333333334	138.84			216.31944444444446	155.75	156.98611111111111	113.03	211.375	152.19	211.375	152.19			0.49	121.13888888888889	87.22	0.31	76.63888888888889	55.18	0.55	135.97222222222223	97.9	0.55	135.97222222222223	97.9
VII	31	744	229.83870967741936	171					0.98	225.24193548387098	167.57999999999998	0.81	186.1693548387097	138.51000000000002	0.93	213.75000000000003	159.03	0.93	213.75000000000003	159.03					0.81	186.1693548387097	138.51000000000002	0.42	96.53225806451613	71.82	0.78	179.2741935483871	133.38	0.78	179.2741935483871	133.38			205.70564516129033	153.04500000000002	141.35080645161293	105.165	196.51209677419357	146.20499999999998	196.51209677419357	146.20499999999998			0.51	117.21774193548387	87.21000000000001	0.3	68.95161290322581	51.3	0.55	126.41129032258065	94.05000000000001	0.55	126.41129032258065	94.05000000000001
VIII	31	744	197.58064516129033	147					1.05	207.45967741935485	154.35	0.73	144.23387096774195	107.31	0.93	183.75000000000003	136.71	0.93	183.75000000000003	136.71					0.91	179.7983870967742	133.77	0.34	67.17741935483872	49.980000000000004	0.79	156.08870967741936	116.13000000000001	0.79	156.08870967741936	116.13000000000001			193.6290322580645	144.06	105.70564516129033	78.64500000000001	169.9193548387097	126.42000000000002	169.9193548387097	126.42000000000002			0.62	122.5	91.14	0.29	57.29838709677419	42.629999999999995	0.58	114.59677419354838	85.25999999999999	0.58	114.59677419354838	85.25999999999999
IX	30	720	154.16666666666666	111					1.18	181.91666666666666	130.98	0.58	89.41666666666666	64.38	0.95	146.45833333333331	105.44999999999999	0.95	146.45833333333331	105.44999999999999					1.12	172.66666666666669	124.32000000000001	0.3	46.24999999999999	33.3	0.81	124.875	89.91000000000001	0.81	124.875	89.91000000000001			177.29166666666669	127.65	67.83333333333333	48.839999999999996	135.66666666666666	97.68	135.66666666666666	97.68			0.85	131.04166666666666	94.35	0.27	41.625	29.970000000000002	0.6	92.49999999999999	66.6	0.6	92.49999999999999	66.6
X	31	744	86.02150537634408	64					1.35	116.12903225806451	86.4	0.43	36.98924731182795	27.52	0.96	82.58064516129032	61.44	0.96	82.58064516129032	61.44					1.43	123.01075268817203	91.52	0.33	28.387096774193548	21.12	0.84	72.25806451612902	53.76	0.84	72.25806451612902	53.76			119.56989247311827	88.96000000000001	32.68817204301075	24.32	77.41935483870967	57.599999999999994	77.41935483870967	57.599999999999994			1.22	104.94623655913978	78.08	0.29	24.94623655913978	18.56	0.64	55.053763440860216	40.96	0.64	55.053763440860216	40.96
