Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2001,Unnamed: 7,2002,Unnamed: 9,2003,Unnamed: 11,2004,Unnamed: 13,2005,Unnamed: 15,2006,Unnamed: 17,2007,Unnamed: 19,2008,Unnamed: 21,2009,Unnamed: 23,2010,Unnamed: 25,2011,Unnamed: 27,2012,Unnamed: 29,2013,Unnamed: 31,2014,Unnamed: 33,2015,Unnamed: 35,2016,Unnamed: 37,2017,Unnamed: 39,2018,Unnamed: 41,2019,Unnamed: 43
KOD_OKRES,NAZOV_OKRES,SKRATKA_OKRES,NAZOV_KRAJ,Vonkajšia výpočtová teplota,Veterná oblasť,"Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota","Počet 
vykur.dní","Priem.
vonk.
teplota"
301,Bánovce nad Bebravou,BN,Trenčín,-12,od 2 do 5,210,3.5,211,4.4,209,3.5,211,4.1,209,3.5,208,4,202,5.4,210,6.1,174,3.3,215,4.2,197,4.3,205,4.7,202,4.6,186,6.7,197,5.7,215,5.5,233,3.9,187,4.8,,
601,Banská Bystrica,BB,Banská Bystrica,-15,"< 2,0",226,3.1,230,3.8,221,2.5,239,3.8,228,2.8,223,3.1,245,5.5,242,5.4,182,2,239,3.8,203,2.8,217,3.3,214,3.5,239,6.7,208,4.9,232,4.4,237,3.9,201,3.5,,
602,Banská Štiavnica,BS,Banská Bystrica,-16,"< 2,0",240,3.3,234,3.7,224,2.4,251,4.2,242,3.5,237,3.5,246,4.9,244,4.8,212,3,246,3.4,215,2.7,220,3.1,216,3,231,5.8,214,4.6,230,3.8,239,4.1,189,2.7,,
701,Bardejov,BJ,Prešov,-15,od 2 do 5,225,2.9,223,3.3,228,2.4,243,3.6,229,2.5,225,2.7,250,4.8,242,4.8,233,3.9,234,2.6,222,2.3,218,2.4,223,3.2,237,5.8,219,4.4,244,4.2,231,3.4,196,2.6,,
101,Bratislava I,BA1,Bratislava,-11,od 2 do 5,205,3.9,207,5.1,200,3.4,205,4.1,211,4.1,197,4.3,192,5.2,214,6.3,175,3.3,215,4,190,4.6,201,4.7,202,4.7,182,6.2,183,5.6,206,5.3,207,5.5,181,4.7,,
102,Bratislava II,BA2,Bratislava,-11,od 2 do 5,205,3.9,207,5.1,200,3.4,205,4.1,211,4.1,197,4.3,192,5.2,214,6.3,175,3.3,215,4,190,4.6,201,4.7,202,4.7,182,6.2,183,5.6,205,5.3,207,5.5,181,4.7,,
103,Bratislava III,BA3,Bratislava,-11,od 2 do 5,205,3.9,207,5.1,200,3.4,205,4.1,211,4.1,192,3.5,192,5.2,215,6,175,2.7,214,3.7,197,4.3,193,3.7,206,4.2,194,6.7,187,5.5,209,5,207,5.5,182,4.1,,
104,Bratislava IV,BA4,Bratislava,-11,od 2 do 5,205,3.9,207,5.1,200,3.4,205,4.1,211,4.1,192,3.5,192,5.2,215,6,175,3.3,215,4,190,4.6,201,4.7,202,4.6,182,6.2,192,6.3,209,5.3,203,5.1,182,4.5,,
105,Bratislava V,BA5,Bratislava,-11,od 2 do 5,205,3.9,207,5.1,200,3.4,205,4.1,211,4.1,192,3.5,192,5.2,214,6.3,175,3.3,215,4,190,4.6,201,4.7,202,4.7,182,6.2,192,6.3,209,5,203,5.1,181,4.7,,
