Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Adresa hodnoteného objektu,,,,,,,,,,,,
,Okres:,,,,Dunajská Streda,,,,,,,,
,Mesto / obec:,,,,Bratislava II,,,,,,,,
,"Ulica, číslo:",,,,,,,,,,,,
,Kategória budovy,,,,budova určená na šport,,,,,,,,
,Rok spracovania energetického auditu:,,,,2020,,,,,,,,
,,,,,,,,,,,,,
,Geometrické parametre objektu,,,,,,,,,,,,
,Celková zastavaná plocha (m2),,,,A,4021,,,,,,,
,Obvod zastavanej plochy (m),,,,P,352,,,,,,,
,Obostavaný vykurovaný objem (m3),,,,Vb,26762.25,,,,,,,
,Celková podlahová plocha   (m2),,,,Ab,5301.5,,,,,,,
,Ochladzovaná obalová konštrukcia (m2),,,,∑Ai,10756.100175000005,,,,,,,
,Faktor tvaru budovy (m-1),,,,∑Ai/Vb,0.40191314911862813,,,,,,,
,Počet nadzemných podlaží,,,,,2,,,,,,,
,Priemerná konštrukčná výška podlažia (m),,,,"hk,pr",6.5,,,,,,,
,,,,,,,,,,,,,
,Dennostupne,,,,,,,,,,,,
,Kalendárny rok,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Priemer
,Počet vykurovacích dní,,,,,,,,,,,,
,Priemerná vonk. teplota (oC),,,,,,,,,,,,
,Počet dennostupňov ,,-,-,-,-,-,-,-,-,-,-,
,priemer,,,,,,,,,,,,
,číslo stĺpca,,24,26,28,30,32,34,36,36,36,36,
,Klimatické údaje,,,,,,,,,,,,
,,,,,,"Normalizované
hodnotenie","Upravené
hodnotenie",,,,,,
,Vonkajšia výpočtová teplota (oC):,,,,qe,-15,-11,,,,,,
,"Veterná oblasť, rýchlosť vetra (ms-1)",,,,v,-,od 2 do 5,,,,,,
,Vnútorná výpočtová teplota (oC):,,,,qi,,0,,,,,,
,Priemerná vonkajšia teplota vykurovacieho obdobia (oC):,,,,qae,3.86,,,,,,,
,Priemerný počet vykurovacích dní:,,,,d,212,,,,,,,
,Priemerný počet dennostupňov:,,,,D,,,,,,,,
