Ozn.,Otvorové konštrukcie,orientácia,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,počet,rozmer A x B,Unnamed: 9,obvod,plocha,Škára,Uw,SUMA S,SUMA O,SUMA L,Unnamed: 17,posudenie vyhovuje nevuhovuje tabulka
,,J,V,Z,S,H,[ks],A [m],B [m],O [m],S [m2],L [m],[W/(m2.K)],,,,,
OO1,"plastové, izolačné 2-sklo",,100,,,,100,1.5,1.5,6,2.25,5.4,1.5,225,600,5.4,,
OO2,"plastové, izolačné 2-sklo",,2,,,,2,0.9,1.5,4.8,1.35,4.32,1.5,2.7,9.6,4.32,,
OO3,"plastové, izolačné 2-sklo",,16,,,,16,2.1,1.5,7.2,3.1500000000000004,6.48,1.5,50.400000000000006,115.2,6.48,,
OO4,"plastové, izolačné 2-sklo",,4,,,,4,3,1.5,9,4.5,8.1,1.5,18,36,8.1,,
OO5,"plastové, izolačné 2-sklo",,3,,,,3,1.2,0.9,4.2,1.08,3.7800000000000002,1.5,3.24,12.600000000000001,3.7800000000000002,,
OO6,"plastové, izolačné 2-sklo",,1,,,,1,1.4,1.35,5.5,1.89,4.95,1.5,1.89,5.5,4.95,,
OO7,"plastové, izolačné 2-sklo",,4,,,,4,1.35,1.5,5.7,2.0250000000000004,5.13,1.5,8.100000000000001,22.8,5.13,,
OO8,"plastové, izolačné 2-sklo",,1,,,,1,0.6,1.5,4.2,0.8999999999999999,3.7800000000000002,1.5,0.8999999999999999,4.2,3.7800000000000002,,
OO9,"plastové, izolačné 2-sklo",,4,,,,4,2.7,1.5,8.4,4.050000000000001,7.5600000000000005,1.5,16.200000000000003,33.6,7.5600000000000005,,
OO10,"plastové, izolačné 2-sklo",1,,,,,1,1.34,1.5,5.68,2.0100000000000002,5.112,1.5,2.0100000000000002,5.68,5.112,,
OO11,"plastové, izolačné 2-sklo",2,,,,,2,2.4,2.4,9.6,5.76,8.64,1.5,11.52,19.2,8.64,,
OO12,"plastové, izolačné 2-sklo",2,,,,,2,1.35,1.5,5.7,2.0250000000000004,5.13,1.5,4.050000000000001,11.4,5.13,,
OO13,"plastové, izolačné 2-sklo",11,,,,,11,1.42,1.5,5.84,2.13,5.256,1.5,23.43,64.24,5.256,,
OO14,"plastové, izolačné 2-sklo",5,,,,,5,5.6,1.5,14.2,8.399999999999999,12.78,1.5,41.99999999999999,71,12.78,,
OO15,"plastové, izolačné 2-sklo",,,17,,,17,2.1,1.5,7.2,3.1500000000000004,6.48,1.5,53.550000000000004,122.4,6.48,,
OO16,"plastové, izolačné 2-sklo",,,100,,,100,1.5,1.5,6,2.25,5.4,1.5,225,600,5.4,,
OO17,"plastové, izolačné 2-sklo",,,8,,,8,3,1.5,9,4.5,8.1,1.5,36,72,8.1,,
OO18,"plastové, izolačné 2-sklo",,,2,,,2,1.42,1.5,5.84,2.13,5.256,1.5,4.26,11.68,5.256,,
OO19,"plastové, izolačné 2-sklo",,,2,,,2,1.2,0.9,4.2,1.08,3.7800000000000002,1.5,2.16,8.4,3.7800000000000002,,
OO20,"plastové, izolačné 2-sklo",,,4,,,4,3,1.5,9,4.5,8.1,1.5,18,36,8.1,,
OO21,"plastové, izolačné 2-sklo",,,1,,,1,1.4,1.35,5.5,1.89,4.95,1.5,1.89,5.5,4.95,,
OO22,"plastové, izolačné 2-sklo",,,5,,,5,2.7,1.5,8.4,4.050000000000001,7.5600000000000005,1.5,20.250000000000004,42,7.5600000000000005,,
OO23,"plastové, izolačné 2-sklo",,,,1,,1,1.8,2.2,8,3.9600000000000004,7.2,1.5,3.9600000000000004,8,7.2,,
OO24,"plastové, izolačné 2-sklo",,,,3,,3,2.7,3,11.4,8.100000000000001,10.26,1.5,24.300000000000004,34.2,10.26,,
OO25,"plastové, izolačné 2-sklo",,,,4,,4,2.7,1.5,8.4,4.050000000000001,7.5600000000000005,1.5,16.200000000000003,33.6,7.5600000000000005,,
OO26,"plastové, izolačné 2-sklo",,,,11,,11,1.42,1.5,5.84,2.13,5.256,1.5,23.43,64.24,5.256,,
OO27,"hliník, izolačné 2-sklo",,2,,,,2,2.325,2.65,9.95,6.16125,8.955,1.5,12.3225,19.9,8.955,,
OO28,"hliník, izolačné 2-sklo",,1,,,,1,1.8,2.05,7.699999999999999,3.69,6.93,1.5,3.69,7.699999999999999,6.93,,
OO29,"plastové, izolačné 2-sklo",,10,,,,10,3.45,2.4,11.7,8.28,10.53,1.5,82.8,117,10.53,,
OO30,"plastové, izolačné 2-sklo",,1,,,,1,3.45,2.3,11.5,7.935,10.35,1.5,7.935,11.5,10.35,,
OO31,"plastové, izolačné 2-sklo",,,10,,,10,3.45,2.4,11.7,8.28,10.53,1.5,82.8,117,10.53,,
OO32,"plastové, izolačné 2-sklo",,,1,,,1,3.45,2.3,11.5,7.935,10.35,1.5,7.935,11.5,10.35,,
OO33,"hliník, izolačné 2-sklo",,1,,,,1,3.45,2.65,12.2,9.1425,10.98,1.5,9.1425,12.2,10.98,,
OO34,"hliník, izolačné 2-sklo",,1,,,,1,4.8,3.6,16.8,17.28,15.120000000000001,1.5,17.28,16.8,15.120000000000001,,
OO35,"hliník, izolačné 2-sklo",,,,1,,1,2.4,3.6,12,8.64,10.8,1.5,8.64,12,10.8,,
OO36,"plastové, izolačné 2-sklo",,,,,6,6,5.57,1.67,14.48,9.3019,13.032,1.5,55.8114,86.88,13.032,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Plocha Okná spolu podľa svetovej strany,,83.00999999999999,459.6,451.845,76.53000000000002,55.8114,341,,,,,,,,,,,
Ozn.,Otvorové konštrukcie,orientácia,,,,,počet,rozmer A x B,,obvod,plocha,Škára,Uw,SUMA S,SUMA O,SUMA L,,
,,J,V,Z,S,H,[ks],A [m],B [m],O [m],S [m2],L [m],[W/(m2.K)],,,,,
DO1,"plastové, izolačné 2-sklo",,100,,,,100,1,2.4,2.3628,2.4,6.12,1.5,240,236.28,6.12,,
DO2,"plastové, izolačné 2-sklo",,1,,,,1,2.1,2.4,4.4278,5.04,8.1,1.5,5.04,4.4278,8.1,,
DO3,"plastové, izolačné 2-sklo",,,100,,,100,1.05,2.04,1.4592,2.1420000000000003,5.562,1.5,214.20000000000005,145.92000000000002,5.562,,
