Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Výpočet,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2018,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,Adresa hodnoteného objektu,,,,Zadávaš,,,,Merná tepelná strata prechodom tepla ,,,,,,,,,,,,,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,Okres:,Bratislava II,,,Vypočíta sa,,,,Konštrukcia,,,,,Plocha Ai,Ui,Ui . Ai,Faktor bx,bx . Ui . Ai,,,,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,Adresa:,,,,,,,,,,,,,[m2],[W/(m2K)],[W/K],[-],[W/K],,,,,23.2,30,338.99999999999994,október,8.136,5855.121435295347,4639.748941666667,40674.96,,,,,,,,,,,,,
,Kategória budovy,Budovy škôl a školských zariadení,,,,,,,SO1,Obvodová stena ŠD,,,,465.1,0.3301627230563635,153.55868249351468,1,153.55868249351468,,,,,20.8,30,447,november,10.728,5855.121435295347,4639.748941666667,40674.96,,,,,,,,,,,,,
,Rok spracovania energetického auditu:,2018,,,,,,,SO2,Obvodová stena ŠD2,,,,1217.2,0.3189372602924072,388.2104332279181,1,388.2104332279181,,,,,19.8,31,530.1,december,12.7224,5855.121435295347,4639.748941666667,42030.792,,,,,,,,,,,,,
,,,,,,,,,SO3,Obvodová stena - Nezateplená časť,,,,307.8,4.60156862745098,1416.3628235294118,1,1416.3628235294118,,,,,21.7,31,573.5,január,13.764000000000001,5855.121435295347,4639.748941666667,42030.792,,,,,,,,,,,,,
,Geometrické parametre objektu,,,,,,,,SO4,Obvodová stena Jedáleň,,,,333,0.3006442376521117,100.11453113815318,1,100.11453113815318,,,,,17.1,28,492.80000000000007,február,11.827200000000001,5855.121435295347,4639.748941666667,37963.296,,,,,,,,,,,,,
,Celková zastavaná plocha (m2),A,1930.2,,dĺžka vyk zóny,50,m,,SO5,Obvodová stena Jedáleň2,,,,1912.6,0.44249707171055486,846.3198993536072,1,846.3198993536072,,,,,18.6,31,468.1,marec,11.2344,5855.121435295347,4639.748941666667,42030.792,,,,,,,,,,,,,
,Obvod zastavanej plochy (m),P,262.24,,šírka vyk zóny,20,m,,,,,,,,,,,,,,,,33,14,247.79999999999998,apríl,5.9472,5855.121435295347,4639.748941666667,16331.621711999998,,,,,,Spotreba podla faktury,,,Spotreba tepla na TV,,,,
,Obostavaný vykurovaný objem (m3),Vb,32426.9,,,,,,STR1,Plochá strecha ŠD,,,,825.5,0.19555768862273304,161.43287195806613,1,161.43287195806613,,,,,20.2,195,3098.3,Celkom,,,,,,,,,,,kWh/a,,,kWh,,,
,Celková podlahová plocha   (m2),Ab,11298.6,,,,,,STR2,Strecha Jedáleň,,,,1104.7,0.19941579034550028,220.29462359467416,1,220.29462359467416,,,,,,,,,,,,,,,,,W/m2.a,0.8,,,,,,,
,Ochladzovaná obalová konštrukcia (m2),∑Ai,9721.203399999999,,,,,,0,0,,,,0,0,0,1,0,,,,,Dennostupne 2018/2019,,,,,,,,,,,,,,kWh/a,,,,,,
,Faktor tvaru budovy (m-1),∑Ai/Vb,0.2997882437112397,,,,,,0,0,,,,0,0,0,1,0,,,,,mesiac,vyk dni,tem,D,,,,,,,,,,,kwh/a,,Potreba energie na VYK,,,Potreba energie na TV,
,Počet vyk podlaží podlaží,,3.0,,,,,,0,0,,,,0,0,0,1,0,,,,,september,6,15.6,26.400000000000002,,,,,,,,,,potreba VYK,,,,kWh,,,kWh
,Priemerná konštrukčná výška podlažia (m),"hk,pr",2.87,,,,,,0,0,,,,0,0,0,1,0,,,,,október,30,11.9,338.99999999999994,,,,,,,,,,,kwh/a,,,,,,
,,,,,,,,,,,,,,,,0,1,0,,,,,november,30,5.9,447,,,,,,,,,,,,,Potreba energie spolu,,,,
,Dennostupne,,,,,,,,PDL1,Podlaha na teréne ŽS,,,,825.5,0.26,214.63,1,214.63,,,,,december,31,2.7,530.1,,,,,,,,,,,,,,kWh,,,
,Kalendárny rok,,2015.0,2016.0,2017,Priemer,,,PDL2,Podlaha na teréne Jedáleň,,,,1104.7,0.22,243.03400000000002,1,243.03400000000002,,,,,január,31,3.2,573.5,,,,,,,,,,,,,,,,,
,Počet vykurovacích dní,,183.0,205.0,207,198.33333333333334,,,0,0,,,,0,0,0,1,0,,,,,február,28,-0.5,492.80000000000007,,,,,,,,,,,,,,,,,
,Priemerná vonk. teplota (oC),,5.6,5.3,5.5,5.466666666666666,,,,,,,,,,,,,ivl,l [m],,,marec,31,3.5,468.1,,,,,,,,,,,,,,,,,
,Počet dennostupňov ,,2635.2000000000003,3013.5,3001.5,2883.4,,,OO1,"plastové, izolačné 2-sklo",,,,225,1,225,1,225,1,5.4,0.0005400000000000001,,apríl,14,15.3,247.79999999999998,,,,,,,,,,,,,,,,,
,,,2883.4,2883.4,2883.4,,,,OO2,"plastové, izolačné 2-sklo",,,,2.7,1,2.7,1,2.7,1,4.32,0.00043200000000000004,,máj,2,18.8,2.3999999999999986,,,,,,,,,,,,,,,,,
,,,34.0,36.0,38,,,,OO3,"plastové, izolačné 2-sklo",,,,50.400000000000006,1,50.400000000000006,1,50.400000000000006,1,6.48,0.000648,,,203,8.488888888888889,3127.1000000000004,,,,,,,,,,,,,,,,,
,,,,,,,,,OO4,"plastové, izolačné 2-sklo",,,,18,1,18,1,18,1,8.1,0.00081,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO5,"plastové, izolačné 2-sklo",,,,3.24,1,3.24,1,3.24,1,3.7800000000000002,0.000378,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO6,"plastové, izolačné 2-sklo",,,,1.89,1,1.89,1,1.89,1,4.95,0.000495,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO7,"plastové, izolačné 2-sklo",,,,8.100000000000001,1,8.100000000000001,1,8.100000000000001,1,5.13,0.000513,,2017,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO8,"plastové, izolačné 2-sklo",,,,0.8999999999999999,1,0.8999999999999999,1,0.8999999999999999,1,3.7800000000000002,0.000378,,Mesačná metóda,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,OO9,"plastové, izolačné 2-sklo",,,,16.200000000000003,1,16.200000000000003,1,16.200000000000003,1,7.5600000000000005,0.000756,,Ti,počet vyk dní,D2019,mesiac,"xi=D.0,024",Ht,Hv,Qi,Qsol,Qspolu,μ,Qh,,,,,,,,,
,,,,,,,,,OO10,"plastové, izolačné 2-sklo",,,,2.0100000000000002,1,2.0100000000000002,1,2.0100000000000002,1,5.112,0.0005112000000000001,,23.5,23,348,október,8.352,5855.121435295347,4639.748941666667,31184.136000000002,,,,,,,,,,,,,
,,,,,,,,,OO11,"plastové, izolačné 2-sklo",,,,11.52,1,11.52,1,11.52,1,8.64,0.0008640000000000001,,21.5,30,468,november,11.232000000000001,5855.121435295347,4639.748941666667,40674.96,,,,,,,,,,,,,
,,,,,,,,,OO12,"plastové, izolačné 2-sklo",,,,4.050000000000001,1,4.050000000000001,1,4.050000000000001,1,5.13,0.000513,,20.9,31,564.1999999999999,december,13.540799999999999,5855.121435295347,4639.748941666667,42030.792,,,,,,,,,,,,,
,,,,,,,,,OO13,"plastové, izolačné 2-sklo",,,,23.43,1,23.43,1,23.43,1,5.256,0.0005256000000000001,,18.3,31,722.3000000000001,január,17.3352,5855.121435295347,4639.748941666667,42030.792,,,0.96,,,,,,,,,,
,,,,,,,,,OO14,"plastové, izolačné 2-sklo",,,,41.99999999999999,1,41.99999999999999,1,41.99999999999999,1,12.78,0.001278,,19.5,28,470.40000000000003,február,11.289600000000002,5855.121435295347,4639.748941666667,37963.296,,,,,,,,,,,,,
,,,,,,,,,OO15,"plastové, izolačné 2-sklo",,,,53.550000000000004,1,53.550000000000004,1,53.550000000000004,1,6.48,0.000648,,23.3,31,437.1,marec,10.490400000000001,5855.121435295347,4639.748941666667,42030.792,,,0.77,,,,,,,,,,
,,,,,,,,,OO16,"plastové, izolačné 2-sklo",,,,225,1,225,1,225,1,5.4,0.0005400000000000001,,19.8,14,133,apríl,3.192,5855.121435295347,4639.748941666667,18981.648,,,,,,Spotreba podla faktury,,,Spotreba tepla na TV,,,,
,,,,,,,,,OO17,"plastové, izolačné 2-sklo",,,,36,1,36,1,36,1,8.1,0.00081,,21.166666666666668,188,3143,Celkom,,,,,,,,,,,kWh/a,,,kWh,,,
,,,,,,,,,OO18,"plastové, izolačné 2-sklo",,,,4.26,1,4.26,1,4.26,1,5.256,0.0005256000000000001,,,,,,,,,,,,,,W/m2.a,0.8,,,,,,,
