Lokalita,"Teoretické možné množstvo energie dopadajúcej za deň na plochu v jednotlivých mesiacoch Qs,deň,teor. (kWh/m2)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Plochý kolektor 45°,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Bratislava,,,,,,Mesiac,"Qs,den,teor.",sm,"Qs,den.skut.",Tv,Icstr,n,"Qk,deň",,Mesiac,počet dní n,Potreba tepla na prípravu TV,"Qk,deň",Množstvo zachytenej energie,"n.Sk.Qk,deň","Rozdiel (n.sk.Qk,deň-Qpotr)"
Mesiac,30°,45°,60°,,,,,,,,,,,,,,,,,,
január,2.83,3.26,3.56,,,,,,,,,,,,,,,,,,
február,4.9,5.44,5.38,,,,,,,,,,,,,,,,,,
marec,6.76,7.1,7.06,,,,kWh/m2,-,kWh/m2,°C,W/m2,-,kWh/m2,,,-,kWh,kWh/m2,kWh/m2,kWh,kWh
apríl,7.92,8.19,7.26,,,1,3.26,0.25,0.815,2.1,416,0.6,0.48899999999999993,,1,31,1863.844,0.48899999999999993,15.158999999999997,245.12103,-1618.72297
máj,9.72,9.52,8.22,,,2,5.44,0.31,1.6864000000000001,3.6,579,0.6,1.01184,,2,28,1683.472,1.01184,28.33152,458.1206784000001,-1225.3513216
jún,9.98,9.64,8.48,,,3,7.1,0.42,2.9819999999999998,8.5,596,0.6,1.7892,,3,31,1863.844,1.7892,55.465199999999996,896.872284,-966.971716
júl,9.72,9.52,8.22,,,4,8.19,0.53,4.3407,13.4,559,0.6,2.6044199999999997,,4,30,1803.72,2.6044199999999997,78.1326,1263.4041419999999,-540.3158580000002
august,7.92,8.19,7.26,,,5,9.52,0.57,5.426399999999999,18.5,627,0.6,3.2558399999999996,,5,31,1863.844,3.2558399999999996,100.93103999999998,1632.0549168,-231.78908320000005
september,6.76,7.1,7.06,,,6,9.64,0.6,5.784,21.6,626,0.6,3.4703999999999997,,6,30,1803.72,3.4703999999999997,104.112,1683.4910399999999,-120.22896000000014
október,4.9,5.44,5.38,,,7,9.52,0.63,5.997599999999999,23.5,647,0.6,3.5985599999999995,,7,31,1863.844,3.5985599999999995,111.55535999999998,1803.8501712,-59.993828800000074
november,2.83,3.26,3.56,,,8,8.19,0.63,5.1597,23.6,603,0.6,3.09582,,8,31,1863.844,3.09582,95.97041999999999,1551.8416914,-312.0023086000001
december,2.35,2.69,3,,,9,7.1,0.58,4.117999999999999,20.5,577,0.6,2.4707999999999997,,9,30,1803.72,2.4707999999999997,74.124,1198.5850799999998,-605.1349200000002
,,,,,,10,5.44,0.44,2.3936,14.7,541,0.6,1.43616,,10,31,1863.844,1.43616,44.52096,719.9039232000001,-1143.9400768
Lokalita,Stredná intenzita slnečného žiarenia Icstr (W/m2) pri uhle sklonu alfa oslnenej plochy orientovanej na juh,,,,,11,3.26,0.24,0.7823999999999999,8.5,416,0.6,0.4694399999999999,,11,30,1803.72,0.4694399999999999,14.083199999999998,227.72534399999998,-1575.994656
Bratislava,,,,,,12,2.69,0.2,0.538,4.2,370,0.6,0.32280000000000003,,12,31,1863.844,0.32280000000000003,10.0068,161.80995600000003,-1702.034044
Mesiac,30°,45°,60°,,,,,,,,,,,,,,,,,Nedostatok,-10102.479743000002
január,361,416,454,,,Plocha kolektora (m2),,,Spotreba TV/deň:,,60.124,,,,,,,,,Prebytok,0
február,522,579,614,,,Najpriaznivejší mesiac,,,,Najnepriaznivejší mesiac,,,,,,,,,,,
marec,574,596,574,,,Sk,16.71,,,Sk,186.26,,,,,,,,,,
apríl,554,559,514,,,,,,,,,,,,,,,,,,
máj,636,627,538,,,Ročná potreba tepla na ohrev TV,,,,19369.55,kWh/r,,,,,,,,,,
