ENERGETICKÁ BILANCIA SYSTÉMU PRÍPRAVY TV,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Mesiac,Potreba tepla,Straty distribúcia,Straty akumulácia,Potreba tepla + straty,Teplo zo soláru,Potr. tepla + straty - solár,Energia pokrytá kotlom,Účinnosť kotla,Straty výroba,Obeh. čerpadlo,Elektrina solár,Dodaná en. ZP,Dodaná en. elektrina
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,-,kWh,kWh,kWh,kWh,kWh
január,0,0,0,0,0,0,0,0.92,0,0,0,0,0
február,0,0,0,0,0,0,0,0.92,0,0,0,0,0
marec,0,0,0,0,0,0,0,0.92,0,0,0,0,0
apríl,0,0,0,0,0,0,0,0.92,0,0,0,0,0
máj,0,0,0,0,0,0,0,0.92,0,0,0,0,0
jún,0,0,0,0,0,0,0,0.92,0,0,0,0,0
júl,0,0,0,0,0,0,0,0.92,0,0,0,0,0
august,0,0,0,0,0,0,0,0.92,0,0,0,0,0
september,0,0,0,0,0,0,0,0.92,0,0,0,0,0
október,0,0,0,0,0,0,0,0.92,0,0,0,0,0
november,0,0,0,0,0,0,0,0.92,0,0,0,0,0
december,0,0,0,0,0,0,0,0.92,0,0,0,0,0
SUMA,0,0,0,0,0,0,0,,0,0,0,0,0
