"posudenie obalovych konstrukcii R, U podla STN 73 0540-2,3",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,vhovuje,nevyhovuje,Unnamed: 8,Unnamed: 9,Unnamed: 10,Kategória budovy,Unnamed: 12,Číselník DPH,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Priemerný tepelný výkon vnútorných zdrojov tepla podľa STN 73 0540-2,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Osvetlenie,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,sucinitel pre podlahu STN EN ISO 13 370,,,,,,,,,,Rodinné domy,,áno,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bytové domy,,,,5,W/m2,,,,,Merný výkon,Merný výkon,CENA bez DPH (€),"merná cena     
bez DPH (€)",,Životnosť,,,,,,
,sirenie vlhkosti?,,,,,,,,,,Bytové domy,,nie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rodinné domy,,,,4,W/m2,,,,,lm/W,v rozsahu,€,fix €/ks,var. €/W,h,,,,,,
,,,,,,,,,,,Administratívne budovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ostatné,,,,6,W/m2,,,,obyčajná žiarovka,13,6 – 15,0.27,0.66,0.01,1000,,,,,,
,,,,,,,,,,,Budovy škôl a školských zariadení,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,halogénová žiarovka,15,12 –17,4.32,2.66,0.03,3000,,,,,,
,,,,,,,,,,,Budovy nemocníc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED žiarovka,85,60 – 90 ,23.24,11.62,0.66,50000,,,,,,
,,,,,,,,,,,Budovy hotelov a reštaurácií,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED žiarovka + nové svietidlo,85,60 – 90 ,120,43,1.7,50000,,,,,,
,,,,,,,,,,,Športové haly a iné budovy určené na šport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED žiarovka + nové svietidlo + pohybový senzor,85,60 – 90 ,,60,1.7,50000,,,,,,
,,,,,,,,,,,Budovy pre veľkoobchodné a maloobchodné služby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED svetelná trubica + nové svietidlo,95,90 – 100 ,165,125,0.5,50000,,,,,,
,,,,,,,,,,,Výrobné haly a priemyselné budovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineárna žiarivka T8 + klasický predradník,60,55 – 74 ,1.83,0,0.03,8000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineárna žiarivka T8 + elektronický predradník,80,75 – 90 ,0,27.22,0.03,15000,,,,,,
,,,,,,,,,,,Klimatické údaje,,,,,Klimatické podmienky podľa STN EN ISO 13790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalizovaný počet dennostupňov,,,,,,,,,lineárna žiarivka T8 + elektronický predradník + nové svietidlo,80,75 – 90 ,,42,0.25,15000,,,,,,
,,,,,,,,,,,,,"Normalizované
hodnotenie","Upravené
hodnotenie",,Mesiac:,SPOLU,Január,,,Február,,,Marec,,,Apríl,,,Máj,,,Jún,,,Júl,,,August,,,September,,,Október,,,Novebmer,,,December,,,,,Mesiac,d (dni),Vnútorná teplota (°C),Vonkajšia priemerná (°C),D (K.deň),xi,,,,lineárna žiarivka T5 + elektronický predradník + nové svietidlo,95,90 – 107,1.83,40,0.35,16000,,,,,,
,,,,,,,,,,,Vonkajšia výpočtová teplota (oC):,qe,-15,,,VO :,4432.4,31,,,28,,,31,,,30,,,5,,,0,,,0,,,0,,,5,,,31,,,30,,,31,,,dni,,Január,31,20,-1.8,675.8000000000001,16.2192,,,,kompaktná žiarivka,50,40 – 87,4.65,4.32,0.03,6000,,,,,,
